estar;152;300;347;466;243;357
dizer;186;579;255;322;282;381
presidente;96;290;151;138;323;297
lula;395;294;82;117;103;3
michel_temer;63;276;84;92;248;6
afirmar;110;275;87;73;152;207
ano;156;113;118;130;101;92
governo;23;127;133;112;297;147
país;29;83;208;118;76;307
público;172;161;114;71;64;8
ministro;124;81;36;63;99;25
federal;195;206;36;30;80;2
ex_presidente;243;188;22;34;53;11
brasil;32;75;186;146;79;20
lava_jato;153;215;47;37;23;0
dia;117;59;51;98;81;89
caso;189;74;71;51;72;48
rcifrão;24;363;8;18;22;1
pessoa;46;68;132;139;46;38
coreia;0;1;2;1;1;589
stf;125;48;14;12;34;0
mesmo;72;80;94;109;85;61
acordo;58;238;44;31;31;83
defesa;235;145;22;10;19;92
ver;43;105;66;132;61;67
norte;4;6;2;9;4;553
dar;44;102;79;139;74;48
novo;46;61;78;62;76;118
pedir;104;155;26;41;50;59
processo;276;79;46;22;48;0
político;52;113;147;62;77;14
operação;68;244;35;20;13;18
ministério;107;152;32;31;39;31
empresa;7;298;26;29;15;12
deputado;48;97;16;14;247;1
trump;2;1;46;29;14;415
delação;43;352;4;9;11;0
dever;73;45;93;65;95;67
justiça;162;105;48;26;35;3
eua;4;12;28;15;4;433
odebrecht;20;368;3;6;7;0
decisão;189;37;51;18;42;34
querer;46;59;48;182;65;43
juiz;279;58;34;14;18;0
receber;47;222;24;33;35;14
dinheiro;100;241;20;40;12;1
joesley;9;355;10;33;11;1
ação;100;61;39;29;27;106
dilma;58;201;46;56;44;0
senador;14;117;20;23;119;11
sérgio_moro;248;67;20;8;9;0
brasileiro;21;37;110;67;38;5
falar;32;78;37;146;45;29
república;43;99;49;30;34;7
corrupção;139;67;57;35;27;0
saber;21;93;44;146;35;20
ficar;30;60;34;124;51;27
vez;52;50;46;98;43;76
paulo;38;100;26;45;55;1
nuclear;0;2;4;2;0;381
pt;47;136;48;53;85;1
só;44;49;58;127;40;30
aécio;2;128;11;41;36;0
investigação;56;127;40;11;10;9
propina;14;327;2;4;4;0
política;18;17;160;60;57;47
grupo;9;156;36;18;37;47
partido;25;70;45;28;173;8
relação;37;84;45;27;39;94
câmara;35;64;6;5;222;2
crime;137;60;27;20;16;6
míssil;0;1;1;0;0;364
lei;75;29;73;33;91;7
militar;4;6;27;30;18;225
americano;3;17;25;16;2;307
unido;3;24;23;15;9;279
advogado;157;102;9;10;7;0
contar;20;149;33;55;23;18
polícia;21;98;26;21;17;1
prisão;188;42;9;7;13;1
momento;28;41;90;42;57;46
depoimento;78;204;2;6;2;0
porcento;3;34;10;11;29;19
passar;25;46;73;71;51;10
segurança;20;18;45;27;37;100
