"";"classe 1";"classe 2";"classe 3";"classe 4"
"dizer";-0,036;-3,397;-2,579;11,126
"lula";-0,055;-0,022;108,166;-78,283
"presidente";5,306;-0,81;-12,755;2,181
"michel_temer";38,759;4,141;-2,986;-51,479
"país";2,475;-11,771;-6,029;13,124
"eua";-69,776;-23,441;-37,62;364,279
"ministro";-2,018;-0,124;57,582;-23,611
"nuclear";-68,697;-29,166;-28,076;353,03
"norte";-58,651;-34,457;-30,422;350,587
"brasil";91,497;-1,416;-12,468;-39,192
"governo";13,255;0,545;-14,586;-1,645
"trump";-40,545;-27,147;-21,438;253,178
"coreia";-59,891;-27,724;-24,478;315,038
"sérgio_moro";-30,669;-11,491;284,376;-33,392
"ano";0,996;0,315;1,872;-8,004
"rcifrão";-19,043;179,454;-7,215;-26,945
"míssil";-53,693;-22,274;-21,944;274,244
"dilma";14,313;2,26;0,002;-31,102
"kim";-56,164;-25,998;-22,954;295,429
"público";22,439;-0,13;0,155;-27,206
"federal";-5,468;19,349;22,884;-33,009
"senador";1,994;1,963;1,043;-14,067
"acordo";-23,213;51,456;3,903;-9,55
"deputado";26,253;2,106;-4,137;-26,57
"receber";-5,25;47,614;0,075;-16,798
"político";19,884;1,838;-1,009;-27,584
"milhão";-25,81;136,697;-13,913;-3,623
"ex_presidente";-0,147;-10,747;94,25;-26,83
"ataque";-21,617;-15,362;-17,447;154,55
"querer";24,051;-6,986;-1,962;-2,88
"juiz";-27,742;-3,932;211,031;-28,073
"delação";-28,623;141,74;0,192;-30,342
"coréia";-45,58;-22,584;-19,94;248,489
"lava_jato";-1,344;0,044;49,774;-26,945
"pedir";-3,047;-2,095;26,029;-1,643
"mesmo";4,926;-0,285;0,041;-4,507
"dia";5,929;-3,568;0;-0,858
"pf";-13,135;18,596;34,075;-26,945
"dar";24,964;-3,042;-5,285;-3,349
"petista";3,963;-2,874;24,666;-25,331
"stf";-9,268;-1,75;105,888;-20,996
"último";-1,344;-0,926;1,616;1,062
"brasileiro";24,964;0,001;-0,573;-23,466
"joesley";-3,862;109,243;-10,822;-20,874
"defesa";-28,046;-7,17;46,93;4,822
"aécio";-8,716;5,764;36,936;-19,16
"militar";-8,805;-15,863;-16,233;110,524
"caso";-5,04;0,86;5,413;-0,211
"falar";27,545;-2,055;-2,034;-10,039
"pt";15,385;2,226;-0,944;-23,214
"dinheiro";-1,553;43,128;0,227;-26,195
"vez";2,893;-8,112;0,829;-0,002
"saber";3,076;0,123;0,022;-5,669
"propina";-22,38;167,695;-4,983;-22,843
"china";-26,473;-10,334;-13,314;140,566
"vídeo";24,772;-0,988;-5,514;-6,039
"só";22,075;-1,461;-2,449;-7,019
"mundo";-3,965;-3,459;-4,788;34,182
"justiça";-1,248;-0,019;30,163;-12,435
"declarar";-4,289;0;-6,557;20,796
"guerra";-21,564;-15,354;-13,556;143,631
"dever";2,403;-0,169;-2,137;-0,001
"afirmar";-7,403;1,168;-0,02;4,473
"ficar";4,013;-0,019;-3,475;-0,171
"novo";-0,071;-6,246;0,346;4,313
"operação";-7,244;36,331;0,633;-11,007
"empresa";-10,984;95,915;-6,361;-10,004
"informação";-7,661;1,71;38,332;-13,48
"informar";-12,447;0,004;-1,615;24,459
"corrupção";0,256;0,364;10,784;-16,245
"americano";-24,231;-12,866;-13,556;143,631
"grupo";-13,98;37,779;-3,657;0,016
"chegar";10,513;-0,389;-1,838;-3,16
"jbs";-14,378;108,882;-4,252;-13,243
"cunha";-1,111;42,752;-0,912;-16,245
"arma";-9,09;-10,982;-11,871;88,91
"crime";-2,344;5,434;9,936;-10,713
"prisão";-7,825;-0,311;78,59;-18,429
"odebrecht";-16,87;79,832;0,076;-15,882
"advogado";-20,131;-0,775;112,484;-13,602
"ministério";-0,282;3,641;0,123;-2,22
"sul";-27,873;-10,448;-9,009;130,975
"polícia";1,576;-0,209;9,901;-14,076
"passar";26,906;-2,632;-4,457;-5,374
"maior";-0,104;2,062;-10,437;3,605
"usar";1,74;-2,581;-1,694;1,421
"publicar";4,124;-0,019;-0,263;-2,704
"força";-12,086;-11,821;-2,798;71,827
"chamar";9,016;-0,26;-0,325;-5,374
"ação";-18,422;1,54;0,001;12,517
"contar";0,341;3,596;0,66;-9,693
"próximo";-0,172;-2,717;2,239;0,419
"preso";-0,735;3,321;11,842;-14,436
"política";35,832;-9,384;-1,646;-6,764
"continuar";5,47;-6,973;-7,839;5,566
"semana";-5,975;-0,134;1,295;4,037
"rússia";-16,87;-11,821;-6,011;97,212
"rede";27,398;-0,365;-5,349;-9,802
"jornalista";9,765;-4,88;2,633;-8,019
"divulgar";-3,608;0,097;0,441;1,456
"coisa";20,894;-0,556;-4,049;-6,451
