dizer;127;61;56;117
lula;75;43;95;2
presidente;82;34;17;57
michel_temer;86;39;19;1
país;71;18;20;64
eua;7;8;0;137
ministro;29;19;47;5
nuclear;0;1;0;115
norte;5;0;0;120
brasil;84;17;6;0
governo;56;25;5;22
trump;6;0;1;93
coreia;0;0;0;102
sérgio_moro;8;6;78;0
ano;41;23;24;14
rcifrão;9;61;5;0
míssil;0;1;0;91
dilma;47;23;16;0
kim;0;0;0;96
público;53;17;18;2
federal;22;35;34;0
senador;34;21;18;6
acordo;10;44;23;10
deputado;47;20;7;0
receber;21;43;17;6
político;49;22;12;1
milhão;7;57;2;13
ex_presidente;30;6;51;2
ataque;10;3;1;70
querer;49;7;10;14
juiz;6;9;63;0
delação;7;60;17;0
coréia;1;0;0;83
lava_jato;22;16;37;0
pedir;19;10;30;14
mesmo;39;15;16;13
dia;37;9;14;16
pf;12;30;33;0
dar;46;9;6;12
petista;36;10;31;1
stf;10;8;41;0
último;22;12;18;23
brasileiro;46;15;11;1
joesley;16;47;2;1
defesa;5;6;36;27
aécio;9;18;27;0
militar;13;1;0;55
caso;17;18;21;17
falar;41;8;7;5
pt;38;18;9;0
dinheiro;21;37;15;0
vez;32;5;16;18
saber;31;15;13;9
propina;5;54;5;0
china;2;2;0;53
vídeo;39;9;4;7
só;37;8;6;6
mundo;15;7;5;36
justiça;16;11;26;3
declarar;15;13;4;32
guerra;4;0;0;54
dever;25;10;6;14
afirmar;12;16;11;23
ficar;27;11;5;13
novo;19;4;12;21
operação;11;30;13;4
empresa;8;40;3;4
informação;11;16;29;3
informar;8;12;7;31
corrupção;18;11;17;0
americano;3;1;0;54
grupo;7;30;5;15
chegar;30;9;6;8
jbs;4;37;3;1
cunha;13;27;6;0
arma;8;1;0;42
crime;13;17;18;3
prisão;9;9;34;0
odebrecht;3;33;9;0
advogado;2;7;36;1
ministério;14;14;9;7
sul;0;1;1;47
polícia;18;7;15;0
passar;33;5;3;5
maior;15;13;0;17
usar;23;6;6;17
publicar;25;10;8;8
força;5;0;4;36
chamar;26;8;7;5
ação;2;12;8;21
contar;19;15;11;3
próximo;13;4;11;12
preso;12;13;16;0
política;35;1;5;4
continuar;23;2;1;18
semana;8;8;11;17
rússia;3;0;2;40
rede;31;7;2;2
jornalista;25;3;12;3
divulgar;10;10;10;15
coisa;30;7;3;4
acusar;10;16;14;3
parlamentar;22;13;3;0
depoimento;3;11;30;0
rodrigo;13;10;10;0
neve;7;8;25;0
grande;11;11;1;18
câmara;32;3;2;0
acontecer;18;6;2;15
eduardo;10;24;6;0
unido;3;3;0;38
república;22;9;7;0
pagar;9;26;4;2
globo;12;12;10;0
condenar;5;2;31;2
social;30;4;3;3
porcento;18;7;1;7
homem;12;6;16;2
casa;15;11;6;4
situação;16;5;6;16
pmdb;13;17;4;0
nome;7;11;9;0
filho;11;15;2;3
cidadão;14;10;3;7
bem;21;2;6;10
alegar;4;8;14;14
mendes;3;3;6;0
fato;10;10;15;4
empresário;16;18;5;1
acabar;16;4;3;12
vir;16;7;11;3
sírio;0;0;1;32
senado;16;3;1;0
referir;16;5;10;8
relação;8;10;2;17
precisar;24;4;6;4
oficial;13;5;4;16
mês;6;16;14;3
atacar;6;2;6;19
pedido;2;8;22;1
mostrar;15;4;3;13
fachin;1;5;28;0
entrar;11;1;9;12
corrupto;14;17;3;1
confirmar;2;12;14;9
batista;6;28;0;1
mundial;6;0;0;28
momento;15;3;10;9
enviar;4;1;5;22
cargo;18;6;7;0
segurança;14;2;2;14
jornal;10;6;9;9
donald;1;0;0;34
diverso;6;10;5;12
ameaça;2;2;1;27
tomar;11;0;7;12
relator;2;1;13;0
próprio;6;10;7;10
processo;6;2;21;0
pgr;5;12;16;0
paulo;25;4;4;0
jon_un;0;0;0;35
criminoso;10;18;7;0
colocar;21;0;0;10
mpf;5;15;12;0
josé;14;6;13;0
janot;7;8;5;0
defender;13;1;11;8
decidir;12;3;16;3
realizar;8;1;4;19
questão;7;5;10;11
projeto;14;4;1;0
investigação;5;17;7;1
foro;3;1;7;0
fonte;6;7;10;10
deixar;13;6;1;10
crise;22;1;0;4
cercar;3;13;3;13
perder;8;5;7;6
nacional;10;8;0;6
ler;18;1;8;5
decisão;7;1;20;2
época;6;18;3;1
voltar;18;3;2;8
valor;3;27;1;0
real;4;17;1;8
ocorrer;6;6;6;11
mandar;11;5;6;2
gilmar;4;1;5;0
dono;6;15;4;0
discurso;29;0;0;1
sistema;1;4;3;17
local;11;0;6;11
levar;9;9;6;5
joão;10;1;14;0
japão;1;0;0;27
destruir;8;2;4;14
carne;4;23;0;0
brasília;15;3;9;1
bom;22;2;0;2
atingir;0;3;3;22
tse;2;2;1;0
relatar;4;10;2;6
petrobras;3;18;6;0
partido;15;8;3;1
meio;9;7;2;10
lei;11;5;3;1
jong_un;0;0;0;30
exército;5;0;1;18
achar;17;1;3;2
vida;14;2;8;3
revelar;2;9;4;11
prometer;2;5;3;17
manter;1;4;12;9
líder;7;2;1;15
imprensa;10;1;8;3
ditador;0;1;1;26
direito;12;4;11;2
destacar;10;1;7;9
conseguir;14;7;2;3
comprar;11;13;1;0
citar;10;9;3;3
sofrer;13;1;4;5
friboi;6;17;0;0
curitiba;11;3;9;0
claro;14;3;1;8
vinson;0;0;0;25
maia;15;1;1;0
lançar;3;1;0;20
entrevista;13;6;2;6
entregar;2;12;9;1
encontrar;5;3;7;3
delator;1;15;6;0
carl;0;0;0;25
agir;12;4;2;4
usado;6;3;6;8
rousseff;11;7;8;0
responder;14;3;1;8
possuir;4;2;6;10
navio;0;0;1;19
lançamento;0;0;0;25
incluir;4;10;0;12
imagem;8;0;3;12
demonstrar;11;2;5;8
capital;7;2;2;13
bomba;4;3;0;13
ameaçar;5;2;3;14
teste;0;0;0;25
químico;4;1;0;16
prova;2;7;13;0
esperar;8;2;5;8
edson;0;5;20;0
documento;0;5;12;2
começar;13;3;2;6
balístico;0;0;0;24
uss;0;0;0;21
soltar;10;4;6;1
resolver;6;5;1;8
privilegiado;1;2;6;0
principal;9;4;3;7
premiar;0;17;6;0
porta_aviões;0;0;0;20
península;0;0;0;23
favor;8;7;1;0
esquema;0;20;4;0
costa;9;5;2;5
conferir;17;1;1;2
campanha;0;15;4;1
abrir;5;4;13;0
valer;6;6;7;3
turma;9;1;11;0
sr;11;10;0;2
seguir;7;1;8;5
ricardo;2;7;12;0
procurador;9;8;1;0
possível;4;6;3;8
nota;8;3;7;4
noite;9;2;3;3
matéria;12;8;1;2
investigar;2;9;7;1
funcionário;5;8;0;7
estatal;4;6;0;11
entender;10;7;3;2
denúncia;8;11;3;1
declaração;6;6;0;8
cadeia;5;9;8;0
atual;12;5;0;3
aparecer;10;7;1;2
trabalhar;17;1;0;3
site;14;3;5;0
revista;12;9;0;1
renan;13;1;1;0
problema;10;2;0;8
prever;11;1;0;7
notícia;6;2;2;10
mídia;5;2;1;11
mão;10;2;2;4
irmão;1;14;5;0
família;8;5;6;1
exterior;5;4;1;12
empreiteiro;3;11;5;0
conhecido;16;2;1;3
conflito;1;0;1;19
cair;12;1;2;4
bolsonaro;12;5;0;0
base;3;1;0;16
banco;4;13;1;2
acreditar;5;3;2;9
único;4;4;2;7
sp;6;6;8;0
salário;9;6;2;0
russo;0;0;0;19
ressaltar;3;7;3;7
população;13;1;0;4
norte_americano;3;1;0;17
lourar;0;9;11;0
lado;6;3;2;9
executivo;3;14;2;1
ex_ministro;4;8;5;0
ex_deputado;1;13;7;0
chefe;7;7;3;2
aéreo;2;0;0;16
assunto;12;3;0;3
apresentar;3;2;11;2
acusação;8;4;9;0
servir;10;2;3;4
produto;3;12;1;0
partir;6;4;5;2
palocci;0;11;6;0
palavra;10;0;3;3
pai;4;2;3;5
objectivo;8;2;2;4
norte_coreano;0;0;0;20
melhor;9;2;7;2
impeachment;11;5;0;0
ganhar;12;3;4;0
existir;11;2;2;3
exercício;3;0;2;14
conta;2;13;3;0
chinês;0;0;0;18
capacidade;4;2;0;11
autoridade;2;0;4;5
apoio;14;0;1;4
anunciar;5;2;4;9
aliado;3;3;0;13
votar;11;1;0;0
tribunal;1;3;7;0
supremo;2;2;10;3
sair;9;3;2;3
regime;1;0;3;12
pyongyang;0;0;0;18
pronto;1;0;2;14
prefeito;15;3;0;0
pensar;11;0;5;2
ordem;2;0;5;9
